1 ; Grim Lavamancer ; Creature - Human Wizard 1/1 ; R ; Rare ; Michael Sutfin ;  Premium Deck Series: Fire and Lightning
7 ; Heart Sliver ; Creature - Sliver 1/1 ; 1R ; Common ; Ron Spencer ;  Premium Deck Series: Slivers
8 ; Gemhide Sliver ; Creature - Sliver 1/1 ; 1G ; Common ; John Matson ;  Premium Deck Series: Slivers
9 ; Muscle Sliver ; Creature - Sliver 1/1 ; 1G ; Common ; Richard Kane Ferguson ;  Premium Deck Series: Slivers
10 ; Quick Sliver ; Creature - Sliver 1/1 ; 1G ; Common ; John Avon ;  Premium Deck Series: Slivers
11 ; Crystalline Sliver ; Creature - Sliver 2/2 ; WU ; Uncommon ; L. A. Williams ;  Premium Deck Series: Slivers
12 ; Hibernation Sliver ; Creature - Sliver 2/2 ; UB ; Uncommon ; Scott Kirschner ;  Premium Deck Series: Slivers
13 ; Acidic Sliver ; Creature - Sliver 2/2 ; BR ; Uncommon ; Jeff Miracola ;  Premium Deck Series: Slivers
14 ; Spined Sliver ; Creature - Sliver 2/2 ; RG ; Uncommon ; Ron Spencer ;  Premium Deck Series: Slivers
15 ; Victual Sliver ; Creature - Sliver 2/2 ; WG ; Uncommon ; Terese Nielsen ;  Premium Deck Series: Slivers
16 ; Armor Sliver ; Creature - Sliver 2/2 ; 2W ; Uncommon ; Scott Kirschner ;  Premium Deck Series: Slivers
17 ; Spectral Sliver ; Creature - Sliver Spirit 2/2 ; 2B ; Uncommon ; Pete Venters ;  Premium Deck Series: Slivers
18 ; Barbed Sliver ; Creature - Sliver 2/2 ; 2R ; Uncommon ; Scott Kirschner ;  Premium Deck Series: Slivers
19 ; Homing Sliver ; Creature - Sliver 2/2 ; 2R ; Common ; Trevor Hairsine ;  Premium Deck Series: Slivers
20 ; Necrotic Sliver ; Creature - Sliver 2/2 ; 1WB ; Uncommon ; Dave Allsop ;  Premium Deck Series: Slivers
21 ; Fungus Sliver ; Creature - Fungus Sliver 2/2 ; 3G ; Rare ; Daniel Gelon ;  Premium Deck Series: Slivers
22 ; Brood Sliver ; Creature - Sliver 3/3 ; 4G ; Rare ; Ron Spears ;  Premium Deck Series: Slivers
23 ; Might Sliver ; Creature - Sliver 2/2 ; 4G ; Uncommon ; Jeff Miracola ;  Premium Deck Series: Slivers
24 ; Sliver Overlord ; Legendary Creature - Sliver Mutant 7/7 ; WUBRG ; Mythic Rare ; Tony Szczudlo ;  Premium Deck Series: Slivers
25 ; Fury Sliver ; Creature - Sliver 3/3 ; 5R ; Uncommon ; Parente ;  Premium Deck Series: Slivers
26 ; Heartstone ; Artifact ; 3 ; Uncommon ; John Matson ;  Premium Deck Series: Slivers
27 ; Distant Melody ; Sorcery ; 3U ; Common ; Omar Rayyan ;  Premium Deck Series: Slivers
28 ; Aphetto Dredging ; Sorcery ; 3B ; Common ; Monte Michael Moore ;  Premium Deck Series: Slivers
29 ; Coat of Arms ; Artifact ; 5 ; Rare ; Scott M. Fischer ;  Premium Deck Series: Slivers
30 ; Wild Pair ; Enchantment ; 4GG ; Rare ; Mark Brill ;  Premium Deck Series: Slivers
31 ; Ancient Ziggurat ; Land ; ; Uncommon ; John Avon ;  Premium Deck Series: Slivers
32 ; Rootbound Crag ; Land ; ; Rare ; Matt Stewart ;  Premium Deck Series: Slivers
33 ; Rupture Spire ; Land ; ; Common ; Jaime Jones ;  Premium Deck Series: Slivers
34 ; Terramorphic Expanse ; Land ; ; Common ; Dan Scott ;  Premium Deck Series: Slivers
35 ; Vivid Creek ; Land ; ; Uncommon ; Fred Fields ;  Premium Deck Series: Slivers
36 ; Vivid Grove ; Land ; ; Uncommon ; Howard Lyon ;  Premium Deck Series: Slivers
37 ; Plains ; Basic Land - Plains ; ; Land ; Terese Nielsen ;  Premium Deck Series: Slivers
38 ; Island ; Basic Land - Island ; ; Land ; Randy Gallegos ;  Premium Deck Series: Slivers
39 ; Swamp ; Basic Land - Swamp ; ; Land ; Brom ;  Premium Deck Series: Slivers
40 ; Mountain ; Basic Land - Mountain ; ; Land ; Mark Poole ;  Premium Deck Series: Slivers
41 ; Forest ; Basic Land - Forest ; ; Land ; Douglas Shuler ;  Premium Deck Series: Slivers
1 ; Garruk Wildspeaker ; Planeswalker - Garruk 3 ; 2GG ; Mythic Rare ; Terese Nielsen ;  Duel Decks: Garruk vs. Liliana
2 ; Basking Rootwalla ; Creature - Lizard 1/1 ; G ; Common ; Heather Hudson ;  Duel Decks: Garruk vs. Liliana
3 ; Albino Troll ; Creature - Troll 3/3 ; 1G ; Uncommon ; Parente ;  Duel Decks: Garruk vs. Liliana
4 ; Vine Trellis ; Creature - Plant Wall 0/4 ; 1G ; Common ; DiTerlizzi ;  Duel Decks: Garruk vs. Liliana
5 ; Wild Mongrel ; Creature - Hound 2/2 ; 1G ; Common ; Anthony S. Waters ;  Duel Decks: Garruk vs. Liliana
6 ; Wirewood Savage ; Creature - Elf 2/2 ; 2G ; Common ; DiTerlizzi ;  Duel Decks: Garruk vs. Liliana
7 ; Blastoderm ; Creature - Beast 5/5 ; 2GG ; Common ; Nils Hamm ;  Duel Decks: Garruk vs. Liliana
8 ; Ravenous Baloth ; Creature - Beast 4/4 ; 2GG ; Rare ; Arnie Swekel ;  Duel Decks: Garruk vs. Liliana
9 ; Stampeding Wildebeests ; Creature - Antelope Beast 5/4 ; 2GG ; Uncommon ; Randy Gallegos ;  Duel Decks: Garruk vs. Liliana
10 ; Indrik Stomphowler ; Creature - Beast 4/4 ; 4G ; Uncommon ; Carl Critchlow ;  Duel Decks: Garruk vs. Liliana
11 ; Krosan Tusker ; Creature - Boar Beast 6/5 ; 5GG ; Common ; Kev Walker ;  Duel Decks: Garruk vs. Liliana
12 ; Plated Slagwurm ; Creature - Wurm 8/8 ; 4GGG ; Rare ; Justin Sweet ;  Duel Decks: Garruk vs. Liliana
13 ; Genju of the Cedars ; Enchantment - Aura ; G ; Uncommon ; Arnie Swekel ;  Duel Decks: Garruk vs. Liliana
14 ; Giant Growth ; Instant ; G ; Common ; Matt Cavotta ;  Duel Decks: Garruk vs. Liliana
15 ; Rancor ; Enchantment - Aura ; G ; Common ; Kev Walker ;  Duel Decks: Garruk vs. Liliana
16 ; Lignify ; Tribal Enchantment - Treefolk Aura ; 1G ; Common ; Jesper Ejsing ;  Duel Decks: Garruk vs. Liliana
17 ; Nature's Lore ; Sorcery ; 1G ; Common ; Terese Nielsen ;  Duel Decks: Garruk vs. Liliana
18 ; Elephant Guide ; Enchantment - Aura ; 2G ; Uncommon ; Jim Nelson ;  Duel Decks: Garruk vs. Liliana
19 ; Invigorate ; Instant ; 2G ; Common ; Dan Frazier ;  Duel Decks: Garruk vs. Liliana
20 ; Serrated Arrows ; Artifact ; 4 ; Common ; John Avon ;  Duel Decks: Garruk vs. Liliana
21 ; Harmonize ; Sorcery ; 2GG ; Uncommon ; Paul Lee ;  Duel Decks: Garruk vs. Liliana
22 ; Rude Awakening ; Sorcery ; 4G ; Rare ; Ittoku ;  Duel Decks: Garruk vs. Liliana
23 ; Beast Attack ; Instant ; 2GGG ; Uncommon ; Ciruelo ;  Duel Decks: Garruk vs. Liliana
24 ; Overrun ; Sorcery ; 2GGG ; Uncommon ; Carl Critchlow ;  Duel Decks: Garruk vs. Liliana
25 ; Windstorm ; Instant ; XG ; Uncommon ; Rob Alexander ;  Duel Decks: Garruk vs. Liliana
26 ; Slippery Karst ; Land ; ; Common ; Stephen Daniele ;  Duel Decks: Garruk vs. Liliana
27 ; Treetop Village ; Land ; ; Uncommon ; Rob Alexander ;  Duel Decks: Garruk vs. Liliana
28 ; Forest ; Basic Land - Forest ; ; Land ; Rob Alexander ;  Duel Decks: Garruk vs. Liliana
29 ; Forest ; Basic Land - Forest ; ; Land ; Glen Angus ;  Duel Decks: Garruk vs. Liliana
30 ; Forest ; Basic Land - Forest ; ; Land ; Steven Belledin ;  Duel Decks: Garruk vs. Liliana
31 ; Forest ; Basic Land - Forest ; ; Land ; Jim Nelson ;  Duel Decks: Garruk vs. Liliana
32 ; Liliana Vess ; Planeswalker - Liliana 5 ; 3BB ; Mythic Rare ; Terese Nielsen ;  Duel Decks: Garruk vs. Liliana
33 ; Deathgreeter ; Creature - Human Shaman 1/1 ; B ; Common ; Dominick Domingo ;  Duel Decks: Garruk vs. Liliana
34 ; Ghost-Lit Stalker ; Creature - Spirit 1/1 ; B ; Uncommon ; Hideaki Takamura ;  Duel Decks: Garruk vs. Liliana
35 ; Vampire Bats ; Creature - Bat 0/1 ; B ; Common ; Chippy ;  Duel Decks: Garruk vs. Liliana
36 ; Drudge Skeletons ; Creature - Skeleton 1/1 ; 1B ; Common ; Daarken ;  Duel Decks: Garruk vs. Liliana
37 ; Ravenous Rats ; Creature - Rat 1/1 ; 1B ; Common ; Carl Critchlow ;  Duel Decks: Garruk vs. Liliana
38 ; Fleshbag Marauder ; Creature - Zombie Warrior 3/1 ; 2B ; Uncommon ; Pete Venters ;  Duel Decks: Garruk vs. Liliana
39 ; Phyrexian Rager ; Creature - Horror 2/2 ; 2B ; Common ; Mark Tedin ;  Duel Decks: Garruk vs. Liliana
40 ; Urborg Syphon-Mage ; Creature - Human Spellshaper 2/2 ; 2B ; Common ; Greg Staples ;  Duel Decks: Garruk vs. Liliana
41 ; Wall of Bone ; Creature - Skeleton Wall 1/4 ; 2B ; Uncommon ; Jaime Jones ;  Duel Decks: Garruk vs. Liliana
42 ; Faerie Macabre ; Creature - Faerie Rogue 2/2 ; 1BB ; Common ; rk post ;  Duel Decks: Garruk vs. Liliana
43 ; Howling Banshee ; Creature - Spirit 3/3 ; 2BB ; Uncommon ; Andrew Robinson ;  Duel Decks: Garruk vs. Liliana
44 ; Keening Banshee ; Creature - Spirit 2/2 ; 2BB ; Uncommon ; Robert Bliss ;  Duel Decks: Garruk vs. Liliana
45 ; Twisted Abomination ; Creature - Zombie Mutant 5/3 ; 5B ; Common ; Daren Bader ;  Duel Decks: Garruk vs. Liliana
46 ; Skeletal Vampire ; Creature - Vampire Skeleton 3/3 ; 4BB ; Rare ; Wayne Reynolds ;  Duel Decks: Garruk vs. Liliana
47 ; Genju of the Fens ; Enchantment - Aura ; B ; Uncommon ; Tsutomu Kawade ;  Duel Decks: Garruk vs. Liliana
48 ; Bad Moon ; Enchantment ; 1B ; Rare ; Gary Leach ;  Duel Decks: Garruk vs. Liliana
49 ; Sign in Blood ; Sorcery ; BB ; Common ; Howard Lyon ;  Duel Decks: Garruk vs. Liliana
50 ; Vicious Hunger ; Sorcery ; BB ; Common ; Massimilano Frezzato ;  Duel Decks: Garruk vs. Liliana
51 ; Ichor Slick ; Sorcery ; 2B ; Common ; Zoltan Boros & Gabor Szikszai ;  Duel Decks: Garruk vs. Liliana
52 ; Hideous End ; Instant ; 1BB ; Common ; Zoltan Boros & Gabor Szikszai ;  Duel Decks: Garruk vs. Liliana
53 ; Snuff Out ; Instant ; 3B ; Common ; Steve Argyle ;  Duel Decks: Garruk vs. Liliana
54 ; Tendrils of Corruption ; Instant ; 3B ; Common ; Vance Kovacs ;  Duel Decks: Garruk vs. Liliana
55 ; Mutilate ; Sorcery ; 2BB ; Rare ; Zoltan Boros & Gabor Szikszai ;  Duel Decks: Garruk vs. Liliana
56 ; Rise from the Grave ; Sorcery ; 4B ; Uncommon ; Vance Kovacs ;  Duel Decks: Garruk vs. Liliana
57 ; Corrupt ; Sorcery ; 5B ; Uncommon ; Dave Allsop ;  Duel Decks: Garruk vs. Liliana
58 ; Enslave ; Enchantment - Aura ; 4BB ; Uncommon ; Zoltan Boros & Gabor Szikszai ;  Duel Decks: Garruk vs. Liliana
59 ; Polluted Mire ; Land ; ; Common ; Stephen Daniele ;  Duel Decks: Garruk vs. Liliana
60 ; Swamp ; Basic Land - Swamp ; ; Land ; Stephan Martiniere ;  Duel Decks: Garruk vs. Liliana
61 ; Swamp ; Basic Land - Swamp ; ; Land ; Christopher Moeller ;  Duel Decks: Garruk vs. Liliana
62 ; Swamp ; Basic Land - Swamp ; ; Land ; Anthony S. Waters ;  Duel Decks: Garruk vs. Liliana
63 ; Swamp ; Basic Land - Swamp ; ; Land ; Richard Wright ;  Duel Decks: Garruk vs. Liliana
1 ; Akroma's Vengeance ; Sorcery ; 4WW ; Rare ; Greg & Tim Hildebrandt ;  Planechase
2 ; Congregate ; Instant ; 3W ; Common ; Mark Zug ;  Planechase
3 ; Kor Sanctifiers ; Creature - Kor Cleric 2/3 ; 2W ; Common ; Dan Scott ;  Planechase
4 ; Oblivion Ring ; Enchantment ; 2W ; Common ; Franz Vohwinkel ;  Planechase
5 ; Orim's Thunder ; Instant ; 2W ; Common ; Carl Critchlow ;  Planechase
6 ; Prison Term ; Enchantment ó Aura ; 1WW ; Uncommon ; Zoltan Boros & Gabor Szikszai ;  Planechase
7 ; Soul Warden ; Creature - Human Cleric 1/1 ; W ; Common ; Randy Gallegos ;  Planechase
8 ; Broodstar ; Creature - Beast */* ; 8UU ; Rare ; Glen Angus ;  Planechase
9 ; Fabricate ; Sorcery ; 2U ; Uncommon ; Glen Angus ;  Planechase
10 ; Keep Watch ; Instant ; 2U ; Common ; Fred Rahmqvist ;  Planechase
11 ; Master of Etherium ; Artifact Creature ó Vedalken Wizard */* ; 2U ; Rare ; Matt Cavotta ;  Planechase
12 ; Qumulox ; Creature - Beast 5/4 ; 6UU ; Uncommon ; Carl Critchlow ;  Planechase
13 ; Sarcomite Myr ; Artifact Creature ó Myr 2/1 ; 2U ; Common ; Michael Bruinsma ;  Planechase
14 ; Thirst for Knowledge ; Instant ; 2U ; Uncommon ; Ben Thompson ;  Planechase
15 ; Vedalken Engineer ; Creature - Vedalken Artificer 1/1 ; 1U ; Common ; Lars Grant-West ;  Planechase
16 ; Whiplash Trap ; Instant - Trap ; 3UU ; Common ; Zoltan Boros & Gabor Szikszai ;  Planechase
17 ; Ascendant Evincar ; Legendary Creature ó Vampire 3/3 ; 4BB ; Rare ; Mark Zug ;  Planechase
18 ; Beacon of Unrest ; Sorcery ; 3BB ; Rare ; Alan Pollack ;  Planechase
19 ; Beseech the Queen ; Sorcery ; {2/B}{2/B}{2/B} ; Uncommon ; Jason Chan ;  Planechase
20 ; Cadaverous Knight ; Creature - Zombie Knight 2/2 ; 2B ; Common ; Dermot Power ;  Planechase
21 ; Consume Spirit ; Sorcery ; X1B ; Uncommon ; Justin Sweet ;  Planechase
22 ; Corpse Harvester ; Creature - Zombie Wizard 3/3 ; 3BB ; Uncommon ; Mark Tedin ;  Planechase
23 ; Cruel Revival ; Instant ; 4B ; Common ; Greg Staples ;  Planechase
24 ; Dark Ritual ; Instant ; B ; Common ; Clint Langley ;  Planechase
25 ; Death Baron ; Creature ó Zombie Wizard 2/2 ; 1BB ; Rare ; Nils Hamm ;  Planechase
26 ; Dregscape Zombie ; Creature ó Zombie 2/1 ; 1B ; Common ; Lars Grant-West ;  Planechase
27 ; Festering Goblin ; Creature ó Zombie Goblin 1/1 ; B ; Common ; Thomas M. Baxa ;  Planechase
28 ; Grave Pact ; Enchantment ; 1BBB ; Rare ; Puddnhead ;  Planechase
29 ; Gravedigger ; Creature - Zombie 2/2 ; 3B ; Common ; Dermot Power ;  Planechase
30 ; Helldozer ; Creature - Zombie Giant 6/5 ; 3BBB ; Rare ; Zoltan Boros & Gabor Szikszai ;  Planechase
31 ; Hideous End ; Instant ; 1BB ; Common ; Zoltan Boros & Gabor Szikszai ;  Planechase
32 ; Incremental Blight ; Sorcery ; 3BB ; Uncommon ; Chuck Lukacs ;  Planechase
33 ; Innocent Blood ; Sorcery ; B ; Common ; Carl Critchlow ;  Planechase
34 ; Nefashu ; Creature - Zombie Mutant 5/3 ; 4BB ; Rare ; rk post ;  Planechase
35 ; Noxious Ghoul ; Creature - Zombie 3/3 ; 3BB ; Uncommon ; Luca Zontini ;  Planechase
36 ; Phyrexian Arena ; Enchantment ; 1BB ; Rare ; Carl Critchlow ;  Planechase
37 ; Phyrexian Ghoul ; Creature - Zombie 2/2 ; 2B ; Common ; Pete Venters ;  Planechase
38 ; Profane Command ; Sorcery ; XBB ; Rare ; Wayne England ;  Planechase
39 ; Rotting Rats ; Creature ó Zombie Rat 1/1 ; 1B ; Common ; Dave Allsop ;  Planechase
40 ; Shepherd of Rot ; Creature - Zombie Cleric 1/1 ; 1B ; Common ; Greg Staples ;  Planechase
41 ; Soulless One ; Creature - Zombie Avatar */* ; 3B ; Uncommon ; Thomas M. Baxa ;  Planechase
42 ; Syphon Mind ; Sorcery ; 3B ; Common ; Jeff Easley ;  Planechase
43 ; Syphon Soul ; Sorcery ; 2B ; Common ; Ron Spears ;  Planechase
44 ; Undead Warchief ; Creature - Zombie 1/1 ; 2BB ; Uncommon ; Greg Hildebrandt ;  Planechase
45 ; Withered Wretch ; Creature - Zombie Cleric 2/2 ; BB ; Uncommon ; Tim Hildebrandt ;  Planechase
46 ; Arc Lightning ; Sorcery ; 2R ; Common ; Andrew Goldhawk ;  Planechase
47 ; Blaze ; Sorcery ; XR ; Uncommon ; Alex Horley-Orlandelli ;  Planechase
48 ; Bogardan Firefiend ; Creature ó Elemental Spirit 2/1 ; 2R ; Common ; Terese Nielsen ;  Planechase
49 ; Bogardan Rager ; Creature ó Elemental 3/4 ; 5R ; Common ; Clint Langley ;  Planechase
50 ; Browbeat ; Sorcery ; 2R ; Uncommon ; Mark Tedin ;  Planechase
51 ; Cinder Elemental ; Creature - Elemental 2/2 ; 3R ; Uncommon ; Greg Staples ;  Planechase
52 ; Cone of Flame ; Sorcery ; 3RR ; Uncommon ; Chippy ;  Planechase
53 ; Flamekin Harbinger ; Creature ó Elemental Shaman 1/1 ; R ; Uncommon ; Steve Prescott ;  Planechase
54 ; Flametongue Kavu ; Creature - Kavu 4/2 ; 3R ; Uncommon ; Pete Venters ;  Planechase
55 ; Furnace of Rath ; Enchantment ; 1RRR ; Rare ; John Matson ;  Planechase
56 ; Goblin Offensive ; Sorcery ; X1RR ; Uncommon ; Carl Critchlow ;  Planechase
57 ; Insurrection ; Sorcery ; 5RRR ; Rare ; Mark Zug ;  Planechase
58 ; Keldon Champion ; Creature - Human Barbarian 3/2 ; 2RR ; Uncommon ; Mark Tedin ;  Planechase
59 ; Menacing Ogre ; Creature - Ogre 3/3 ; 3RR ; Rare ; Ron Spencer ;  Planechase
60 ; Pyrotechnics ; Sorcery ; 4R ; Uncommon ; John Avon ;  Planechase
61 ; Reckless Charge ; Sorcery ; R ; Common ; Scott M. Fischer ;  Planechase
62 ; Relentless Assault ; Sorcery ; 2RR ; Rare ; Greg Hildebrandt ;  Planechase
63 ; Rockslide Elemental ; Creature ó Elemental 1/1 ; 2R ; Uncommon ; Joshua Hagler ;  Planechase
64 ; Rolling Thunder ; Sorcery ; XRR ; Common ; Richard Thomas ;  Planechase
65 ; Rorix Bladewing ; Legendary Creature - Dragon 6/5 ; 3RRR ; Rare ; Darrell Riche ;  Planechase
66 ; Smokebraider ; Creature ó Elemental Shaman 1/1 ; 1R ; Common ; Anthony S. Waters ;  Planechase
67 ; Taurean Mauler ; Creature ó Shapeshifter 2/2 ; 2R ; Rare ; Dominick Domingo ;  Planechase
68 ; Beast Hunt ; Sorcery ; 3G ; Common ; Kieran Yanner ;  Planechase
69 ; Briarhorn ; Creature ó Elemental 3/3 ; 3G ; Uncommon ; Nils Hamm ;  Planechase
70 ; Explosive Vegetation ; Sorcery ; 3G ; Uncommon ; John Avon ;  Planechase
71 ; Fertile Ground ; Enchantment ó Aura ; 1G ; Common ; Mark Tedin ;  Planechase
72 ; Fertilid ; Creature ó Elemental 0/0 ; 2G ; Common ; Wayne Reynolds ;  Planechase
73 ; Forgotten Ancient ; Creature - Elemental 0/3 ; 3G ; Rare ; Mark Tedin ;  Planechase
74 ; Ivy Elemental ; Creature - Elemental 0/0 ; XG ; Rare ; Ron Spencer ;  Planechase
75 ; Living Hive ; Creature - Elemental Insect 6/6 ; 6GG ; Rare ; Anthony S. Waters ;  Planechase
76 ; Rampant Growth ; Sorcery ; 1G ; Common ; Steven Belledin ;  Planechase
77 ; Search for Tomorrow ; Sorcery ; 2G ; Common ; Randy Gallegos ;  Planechase
78 ; Silverglade Elemental ; Creature - Elemental 4/4 ; 4G ; Common ; Chippy ;  Planechase
79 ; Tornado Elemental ; Creature - Elemental 6/6 ; 5GG ; Rare ; Alex Horley-Orlandelli ;  Planechase
80 ; Tribal Unity ; Instant ; X2G ; Uncommon ; Ron Spears ;  Planechase
81 ; Verdant Force ; Creature ó Elemental 7/7 ; 5GGG ; Rare ; DiTerlizzi ;  Planechase
82 ; Boros Swiftblade ; Creature - Human Soldier 1/2 ; WR ; Uncommon ; Doug Chaffee ;  Planechase
83 ; Branching Bolt ; Instant ; 1RG ; Common ; Vance Kovacs ;  Planechase
84 ; Bull Cerodon ; Creature ó Beast 5/5 ; 4WR ; Uncommon ; Jesper Ejsing ;  Planechase
85 ; Captain's Maneuver ; Instant ; XWR ; Uncommon ; Ben Thompson ;  Planechase
86 ; Cerodon Yearling ; Creature - Beast 2/2 ; WR ; Common ; Christopher Moeller ;  Planechase
87 ; Fires of Yavimaya ; Enchantment ; 1RG ; Uncommon ; Val Mayerik ;  Planechase
88 ; Glory of Warfare ; Enchantment ; 2WR ; Rare ; Parente ;  Planechase
89 ; Hull Breach ; Sorcery ; RG ; Common ; Brian Snoddy ;  Planechase
90 ; Lightning Helix ; Instant ; WR ; Uncommon ; Kev Walker ;  Planechase
91 ; Mage Slayer ; Artifact - Equipment ; 1RG ; Uncommon ; Lars Grant-West ;  Planechase
92 ; Razia, Boros Archangel ; Legendary Creature - Angel 6/3 ; 4WWRR ; Rare ; Donato Giancola ;  Planechase
93 ; Rumbling Slum ; Creature - Elemental 5/5 ; 1RGG ; Rare ; Carl Critchlow ;  Planechase
94 ; Savage Twister ; Sorcery ; XRG ; Uncommon ; Bob Eggleton ;  Planechase
95 ; Sludge Strider ; Artifact Creature ó Insect 3/3 ; 1WUB ; Uncommon ; Franz Vohwinkel ;  Planechase
96 ; Arsenal Thresher ; Artifact Creature - Construct 2/2 ; 2{W/B}U ; Common ; Ralph Horsley ;  Planechase
97 ; Balefire Liege ; Creature ó Spirit Horror 2/4 ; 2{R/W}{R/W}{R/W} ; Rare ; Ralph Horsley ;  Planechase
98 ; Battlegate Mimic ; Creature ó Shapeshifter 2/1 ; 1{R/W} ; Common ; Franz Vohwinkel ;  Planechase
99 ; Boros Guildmage ; Creature - Human Wizard 2/2 ; {R/W}{R/W} ; Uncommon ; Parente ;  Planechase
100 ; Double Cleave ; Instant ; 1{R/W} ; Common ; rk post ;  Planechase
101 ; Duergar Hedge-Mage ; Creature - Dwarf Shaman 2/2 ; 2{R/W} ; Uncommon ; Dave Allsop ;  Planechase
102 ; Hearthfire Hobgoblin ; Creature ó Goblin Soldier 2/2 ; {R/W}{R/W}{R/W} ; Uncommon ; Steven Belledin ;  Planechase
103 ; Assault (Assault/Battery) ; Sorcery ; R ; Uncommon ; Ben Thompson ;  Planechase
104 ; Order (Order/Chaos) ; Instant ; 3W ; Uncommon ; Tim Hildebrandt ;  Planechase
105 ; Arcbound Crusher ; Artifact Creature - Juggernaut 0/0 ; 4 ; Uncommon ; Michael Sutfin ;  Planechase
106 ; Arcbound Slith ; Artifact Creature - Slith 0/0 ; 2 ; Uncommon ; Vance Kovacs ;  Planechase
107 ; Boros Signet ; Artifact ; 2 ; Common ; Greg Hildebrandt ;  Planechase
108 ; Bosh, Iron Golem ; Legendary Artifact Creature - Golem 6/7 ; 8 ; Rare ; Brom ;  Planechase
109 ; Copper Myr ; Artifact Creature - Myr 1/1 ; 2 ; Common ; Kev Walker ;  Planechase
110 ; Cranial Plating ; Artifact - Equipment ; 2 ; Common ; Adam Rex ;  Planechase
111 ; Darksteel Forge ; Artifact ; 9 ; Rare ; Martina Pilcerova ;  Planechase
112 ; Door to Nothingness ; Artifact ; 5 ; Rare ; Puddnhead ;  Planechase
113 ; Etched Oracle ; Artifact Creature - Wizard 0/0 ; 4 ; Uncommon ; Matt Cavotta ;  Planechase
114 ; Gold Myr ; Artifact Creature - Myr 1/1 ; 2 ; Common ; Kev Walker ;  Planechase
115 ; Iron Myr ; Artifact Creature - Myr 1/1 ; 2 ; Common ; Kev Walker ;  Planechase
116 ; Leaden Myr ; Artifact Creature - Myr 1/1 ; 2 ; Common ; Kev Walker ;  Planechase
117 ; Lodestone Myr ; Artifact Creature - Myr 2/2 ; 4 ; Rare ; Greg Staples ;  Planechase
118 ; Loxodon Warhammer ; Artifact ó Equipment ; 3 ; Rare ; Jeremy Jarvis ;  Planechase
119 ; Mask of Memory ; Artifact - Equipment ; 2 ; Uncommon ; Alan Pollack ;  Planechase
120 ; Myr Enforcer ; Artifact Creature - Myr 4/4 ; 7 ; Common ; Greg Staples ;  Planechase
121 ; Nuisance Engine ; Artifact ; 3 ; Uncommon ; Stephen Tappin ;  Planechase
122 ; Pentad Prism ; Artifact ; 2 ; Common ; David Martin ;  Planechase
123 ; Pentavus ; Artifact Creature - Construct 0/0 ; 7 ; Rare ; Greg Staples ;  Planechase
124 ; Relic of Progenitus ; Artifact ; 1 ; Common ; Jean-SÈbastien Rossbach ;  Planechase
125 ; Serum Tank ; Artifact ; 3 ; Uncommon ; Corey D. Macourek ;  Planechase
126 ; Silver Myr ; Artifact Creature - Myr 1/1 ; 2 ; Common ; Kev Walker ;  Planechase
127 ; Skeleton Shard ; Artifact ; 3 ; Uncommon ; Doug Chaffee ;  Planechase
128 ; Suntouched Myr ; Artifact Creature - Myr 0/0 ; 3 ; Common ; Greg Hildebrandt ;  Planechase
129 ; Wizard Replica ; Artifact Creature - Wizard 1/3 ; 3 ; Common ; Carl Critchlow ;  Planechase
130 ; Ancient Den ; Artifact Land ; ; Common ; Rob Alexander ;  Planechase
131 ; Boros Garrison ; Land ; ; Common ; John Avon ;  Planechase
132 ; Cabal Coffers ; Land ; ; Uncommon ; Don Hazeltine ;  Planechase
133 ; Great Furnace ; Artifact Land ; ; Common ; Rob Alexander ;  Planechase
134 ; Gruul Turf ; Land ; ; Common ; John Avon ;  Planechase
135 ; Leechridden Swamp ; Land ó Swamp ; ; Uncommon ; Lars Grant-West ;  Planechase
136 ; Seat of the Synod ; Artifact Land ; ; Common ; John Avon ;  Planechase
137 ; Shivan Oasis ; Land ; ; Uncommon ; Rob Alexander ;  Planechase
138 ; Sunhome, Fortress of the Legion ; Land ; ; Uncommon ; Martina Pilcerova ;  Planechase
139 ; Terramorphic Expanse ; Land ; ; Common ; Dan Scott ;  Planechase
140 ; Tree of Tales ; Artifact Land ; ; Common ; John Avon ;  Planechase
141 ; Vault of Whispers ; Artifact Land ; ; Common ; Rob Alexander ;  Planechase
142 ; Plains ; Basic Land - Plains ; ; Land ; Martina Pilcerova ;  Planechase
143 ; Plains ; Basic Land - Plains ; ; Land ; Larry MacDougall ;  Planechase
144 ; Plains ; Basic Land - Plains ; ; Land ; Richard Wright ;  Planechase
145 ; Plains ; Basic Land - Plains ; ; Land ; Dave Kendall ;  Planechase
146 ; Plains ; Basic Land - Plains ; ; Land ; Stephan Martiniere ;  Planechase
147 ; Island ; Basic Land - Island ; ; Land ; Mark Tedin ;  Planechase
148 ; Island ; Basic Land - Island ; ; Land ; Rob Alexander ;  Planechase
149 ; Island ; Basic Land - Island ; ; Land ; Martina Pilcerova ;  Planechase
150 ; Island ; Basic Land - Island ; ; Land ; John Avon ;  Planechase
151 ; Swamp ; Basic Land - Swamp ; ; Land ; Martina Pilcerova ;  Planechase
152 ; Swamp ; Basic Land - Swamp ; ; Land ; Vance Kovacs ;  Planechase
153 ; Swamp ; Basic Land - Swamp ; ; Land ; Craig Mullins ;  Planechase
154 ; Swamp ; Basic Land - Swamp ; ; Land ; Mark Tedin ;  Planechase
