1 ; Angelic Blessing ; Sorcery ; 2W ; Special ; Mark Zug ;  Starter 2000
146 ; Trokin High Guard ; Creature - Knight 3/3 ; 3W ; Common ; Ron Spencer ;  Portal Second Age
147 ; Vengeance ; Sorcery ; 3W ; Uncommon ; Keith Parkinson ;  Portal Second Age
148 ; Volunteer Militia ; Creature - Soldier 1/2 ; W ; Common ; Keith Parkinson ;  Portal Second Age
149 ; Warrior's Stand ; Sorcery ; 1W ; Uncommon ; Keith Parkinson ;  Portal Second Age
150 ; Wild Griffin ; Creature - Griffin 2/2 ; 2W ; Common ; Jeff Miracola ;  Portal Second Age
151 ; Forest ; Land ; ; Land ; Quinton Hoover ;  Portal Second Age
152 ; Forest ; Land ; ; Land ; Quinton Hoover ;  Portal Second Age
153 ; Forest ; Land ; ; Land ; Quinton Hoover ;  Portal Second Age
154 ; Island ; Land ; ; Land ; John Avon ;  Portal Second Age
155 ; Island ; Land ; ; Land ; John Avon ;  Portal Second Age
156 ; Island ; Land ; ; Land ; John Avon ;  Portal Second Age
157 ; Mountain ; Land ; ; Land ; Rob Alexander ;  Portal Second Age
158 ; Mountain ; Land ; ; Land ; Rob Alexander ;  Portal Second Age
159 ; Mountain ; Land ; ; Land ; Rob Alexander ;  Portal Second Age
160 ; Plains ; Land ; ; Land ; Fred Fields ;  Portal Second Age
161 ; Plains ; Land ; ; Land ; Fred Fields ;  Portal Second Age
162 ; Plains ; Land ; ; Land ; Fred Fields ;  Portal Second Age
163 ; Swamp ; Land ; ; Land ; Susan Van Camp ;  Portal Second Age
164 ; Swamp ; Land ; ; Land ; Susan Van Camp ;  Portal Second Age
165 ; Swamp ; Land ; ; Land ; Susan Van Camp ;  Portal Second Age
1 ; Arrogant Vampire ; Summon Creature 4/3 ; 3BB ; Uncommon ; Zina Saunders ;  Portal
2 ; Assassin's Blade ; Sorcery ; 1B ; Uncommon ; John Matson ;  Portal
3 ; Bog Imp ; Summon Creature 1/1 ; 1B ; Common ; Christopher Rush ;  Portal
4 ; Bog Raiders ; Summon Creature 2/2 ; 2B ; Common ; Steve Luke ;  Portal
5 ; Bog Wraith ; Summon Creature 3/3 ; 3B ; Uncommon ; Ted Naifeh ;  Portal
6 ; Charging Bandits ; Summon Creature 3/3 ; 4B ; Uncommon ; Dermot Power ;  Portal
7 ; Craven Knight ; Summon Creature 2/2 ; 1B ; Common ; Charles Gillespie ;  Portal
8 ; Cruel Bargain ; Sorcery ; BBB ; Rare ; Adrian Smith ;  Portal
9 ; Cruel Tutor ; Sorcery ; 2B ; Rare ; Kev Walker ;  Portal
10 ; Dread Charge ; Sorcery ; 3B ; Rare ; Ted Naifeh ;  Portal
11 ; Dread Reaper ; Summon Creature 6/5 ; 3BBB ; Rare ; Christopher Rush ;  Portal
12 ; Dry Spell ; Sorcery ; 1B ; Uncommon ; Roger Raupp ;  Portal
13 ; Ebon Dragon ; Summon Creature 5/4 ; 5BB ; Rare ; Donato Giancola ;  Portal
14 ; Endless Cockroaches ; Summon Creature 1/1 ; 1BB ; Rare ; Ron Spencer ;  Portal
15 ; Feral Shadow ; Summon Creature 2/1 ; 2B ; Common ; Colin MacNeil ;  Portal
16 ; Final Strike ; Sorcery ; 2BB ; Rare ; John Coulthart ;  Portal
17 ; Gravedigger ; Summon Creature 2/2 ; 3B ; Uncommon ; Scott M. Fischer ;  Portal
18 ; Hand of Death ; Sorcery ; 2B ; Common ; John Coulthart ;  Portal
19 ; Hand of Death ; Sorcery ; 2B ; Common ; John Coulthart ;  Portal
20 ; Howling Fury ; Sorcery ; 2B ; Common ; Mike Dringenberg ;  Portal
21 ; King's Assassin ; Summon Creature 1/1 ; 1BB ; Rare ; Zina Saunders ;  Portal
22 ; Mercenary Knight ; Summon Creature 4/4 ; 2B ; Rare ; Adrian Smith ;  Portal
23 ; Mind Knives ; Sorcery ; 1B ; Common ; Rebecca Guay ;  Portal
24 ; Mind Rot ; Sorcery ; 2B ; Common ; Steve Luke ;  Portal
25 ; Muck Rats ; Summon Creature 1/1 ; B ; Common ; Colin MacNeil ;  Portal
26 ; Nature's Ruin ; Sorcery ; 2B ; Uncommon ; Mike Dringenberg ;  Portal
27 ; Noxious Toad ; Summon Creature 1/1 ; 2B ; Uncommon ; Adrian Smith ;  Portal
28 ; Python ; Summon Creature 3/2 ; 1BB ; Common ; Alan Rabinowitz ;  Portal
29 ; Rain of Tears ; Sorcery ; 1BB ; Uncommon ; Eric Peterson ;  Portal
30 ; Raise Dead ; Sorcery ; B ; Common ; Charles Gillespie ;  Portal
31 ; Serpent Assassin ; Summon Creature 2/2 ; 3BB ; Rare ; Roger Raupp ;  Portal
32 ; Serpent Warrior ; Summon Creature 3/3 ; 2B ; Common ; Roger Raupp ;  Portal
33 ; Skeletal Crocodile ; Summon Creature 5/1 ; 3B ; Common ; Mike Dringenberg ;  Portal
34 ; Skeletal Snake ; Summon Creature 2/1 ; 1B ; Common ; John Matson ;  Portal
35 ; Soul Shred ; Sorcery ; 3BB ; Common ; Alan Rabinowitz ;  Portal
36 ; Undying Beast ; Summon Creature 3/2 ; 3B ; Common ; Steve Luke ;  Portal
37 ; Vampiric Feast ; Sorcery ; 5BB ; Uncommon ; D. Alexander Gregory ;  Portal
38 ; Vampiric Touch ; Sorcery ; 2B ; Common ; Zina Saunders ;  Portal
39 ; Virtue's Ruin ; Sorcery ; 2B ; Uncommon ; Mike Dringenberg ;  Portal
40 ; Wicked Pact ; Sorcery ; 1BB ; Rare ; Adam Rex ;  Portal
41 ; Ancestral Memories ; Sorcery ; 2UUU ; Rare ; Dan Frazier ;  Portal
42 ; Balance of Power ; Sorcery ; 3UU ; Rare ; Adam Rex ;  Portal
43 ; Baleful Stare ; Sorcery ; 2U ; Uncommon ; John Coulthart ;  Portal
44 ; Capricious Sorcerer ; Summon Creature 1/1 ; 2U ; Rare ; Zina Saunders ;  Portal
45 ; Cloak of Feathers ; Sorcery ; U ; Common ; Rebecca Guay ;  Portal
46 ; Cloud Dragon ; Summon Creature 5/4 ; 5U ; Rare ; John Avon ;  Portal
47 ; Cloud Pirates ; Summon Creature 1/1 ; U ; Common ; Phil Foglio ;  Portal
48 ; Cloud Spirit ; Summon Creature 3/1 ; 2U ; Uncommon ; DiTerlizzi ;  Portal
49 ; Command of Unsummoning ; Sorcery ; 2U ; Uncommon ; Phil Foglio ;  Portal
50 ; Coral Eel ; Summon Creature 2/1 ; 1U ; Common ; Una Fricker ;  Portal
51 ; Cruel Fate ; Sorcery ; 4U ; Rare ; Adrian Smith ;  Portal
52 ; Deep-Sea Serpent ; Summon Creature 5/5 ; 4UU ; Uncommon ; Scott M. Fischer ;  Portal
53 ; DÈja Vu ; Sorcery ; 2U ; Common ; Hannibal King ;  Portal
54 ; Djinn of the Lamp ; Summon Creature 5/6 ; 5UU ; Rare ; DiTerlizzi ;  Portal
55 ; Exhaustion ; Sorcery ; 2U ; Rare ; DiTerlizzi ;  Portal
56 ; Flux ; Sorcery ; 2U ; Uncommon ; Ted Naifeh ;  Portal
57 ; Giant Octopus ; Summon Creature 3/3 ; 3U ; Common ; John Matson ;  Portal
58 ; Horned Turtle ; Summon Creature 1/4 ; 2U ; Common ; Adrian Smith ;  Portal
59 ; Ingenious Thief ; Summon Creature 1/1 ; 1U ; Uncommon ; Dan Frazier ;  Portal
60 ; Man-o'-War ; Summon Creature 2/2 ; 2U ; Uncommon ; Una Fricker ;  Portal
61 ; Merfolk of the Pearl Trident ; Summon Creature 1/1 ; U ; Common ; DiTerlizzi ;  Portal
62 ; Mystic Denial ; Sorcery ; 1UU ; Uncommon ; Hannibal King ;  Portal
63 ; Omen ; Sorcery ; 1U ; Common ; Eric Peterson ;  Portal
64 ; Owl Familiar ; Summon Creature 1/1 ; 1U ; Common ; Janine Johnston ;  Portal
65 ; Personal Tutor ; Sorcery ; U ; Uncommon ; D. Alexander Gregory ;  Portal
66 ; Phantom Warrior ; Summon Creature 2/2 ; 1UU ; Rare ; Dan Frazier ;  Portal
67 ; Prosperity ; Sorcery ; XU ; Rare ; Phil Foglio ;  Portal
68 ; Snapping Drake ; Summon Creature 3/2 ; 3U ; Common ; Christopher Rush ;  Portal
69 ; Sorcerous Sight ; Sorcery ; U ; Common ; Kaja Foglio ;  Portal
70 ; Storm Crow ; Summon Creature 1/2 ; 1U ; Common ; Una Fricker ;  Portal
71 ; Symbol of Unsummoning ; Sorcery ; 2U ; Common ; Adam Rex ;  Portal
72 ; Taunt ; Sorcery ; U ; Rare ; Phil Foglio ;  Portal
73 ; Theft of Dreams ; Sorcery ; 2U ; Uncommon ; Adam Rex ;  Portal
74 ; Thing from the Deep ; Summon Creature 9/9 ; 6UUU ; Rare ; Paolo Parente ;  Portal
75 ; Tidal Surge ; Sorcery ; 1U ; Common ; Douglas Shuler ;  Portal
76 ; Time Ebb ; Sorcery ; 2U ; Common ; Alan Rabinowitz ;  Portal
77 ; Touch of Brilliance ; Sorcery ; 3U ; Common ; John Coulthart ;  Portal
78 ; Wind Drake ; Summon Creature 2/2 ; 2U ; Common ; Zina Saunders ;  Portal
79 ; Withering Gaze ; Sorcery ; 2U ; Uncommon ; Scott M. Fischer ;  Portal
80 ; Alluring Scent ; Sorcery ; 1GG ; Rare ; Ted Naifeh ;  Portal
81 ; Anaconda ; Summon Creature 3/3 ; 3G ; Uncommon ; Andrew Robinson ;  Portal
82 ; Anaconda ; Summon Creature 3/3 ; 3G ; Uncommon ; Andrew Robinson ;  Portal
83 ; Bee Sting ; Sorcery ; 3G ; Uncommon ; Phil Foglio ;  Portal
84 ; Bull Hippo ; Summon Creature 3/3 ; 3G ; Uncommon ; Roger Raupp ;  Portal
85 ; Charging Rhino ; Summon Creature 4/4 ; 3GG ; Rare ; Una Fricker ;  Portal
86 ; Deep Wood ; Sorcery ; 1G ; Uncommon ; Paolo Parente ;  Portal
87 ; Elite Cat Warrior ; Summon Creature 2/3 ; 2G ; Common ; Eric Peterson ;  Portal
88 ; Elite Cat Warrior ; Summon Creature 2/3 ; 2G ; Common ; Eric Peterson ;  Portal
89 ; Elven Cache ; Sorcery ; 2GG ; Common ; Rebecca Guay ;  Portal
90 ; Elvish Ranger ; Summon Creature 4/1 ; 2G ; Common ; DiTerlizzi ;  Portal
91 ; Fruition ; Sorcery ; G ; Common ; Steve Luke ;  Portal
92 ; Giant Spider ; Summon Creature 2/4 ; 3G ; Common ; Randy Gallegos ;  Portal
93 ; Gorilla Warrior ; Summon Creature 3/2 ; 2G ; Common ; John Matson ;  Portal
94 ; Grizzly Bears ; Summon Creature 2/2 ; 1G ; Common ; Zina Saunders ;  Portal
95 ; Hurricane ; Sorcery ; XG ; Rare ; Andrew Robinson ;  Portal
96 ; Jungle Lion ; Summon Creature 2/1 ; G ; Common ; Janine Johnston ;  Portal
97 ; Mobilize ; Sorcery ; G ; Common ; Rebecca Guay ;  Portal
98 ; Monstrous Growth ; Sorcery ; 1G ; Common ; Dan Frazier ;  Portal
99 ; Monstrous Growth ; Sorcery ; 1G ; Common ; Dan Frazier ;  Portal
100 ; Moon Sprite ; Summon Creature 1/1 ; 1G ; Uncommon ; Terese Nielsen ;  Portal
101 ; Natural Order ; Sorcery ; 2GG ; Rare ; Alan Rabinowitz ;  Portal
102 ; Natural Spring ; Sorcery ; 3GG ; Uncommon ; Janine Johnston ;  Portal
103 ; Nature's Cloak ; Sorcery ; 2G ; Rare ; Rebecca Guay ;  Portal
104 ; Nature's Lore ; Sorcery ; 1G ; Common ; Terese Nielsen ;  Portal
105 ; Needle Storm ; Sorcery ; 2G ; Uncommon ; Charles Gillespie ;  Portal
106 ; Panther Warriors ; Summon Creature 6/3 ; 4G ; Common ; Eric Peterson ;  Portal
107 ; Plant Elemental ; Summon Creature 3/4 ; 1G ; Uncommon ; Ted Naifeh ;  Portal
108 ; Primeval Force ; Summon Creature 8/8 ; 2GGG ; Rare ; Randy Gallegos ;  Portal
109 ; Redwood Treefolk ; Summon Creature 3/6 ; 4G ; Common ; Steve Luke ;  Portal
110 ; Rowan Treefolk ; Summon Creature 3/4 ; 3G ; Common ; Gerry Grace ;  Portal
111 ; Spined Wurm ; Summon Creature 5/4 ; 4G ; Common ; Colin MacNeil ;  Portal
112 ; Stalking Tiger ; Summon Creature 3/3 ; 3G ; Common ; Colin MacNeil ;  Portal
113 ; Summer Bloom ; Sorcery ; 1G ; Rare ; Kaja Foglio ;  Portal
114 ; Sylvan Tutor ; Sorcery ; G ; Rare ; Kaja Foglio ;  Portal
115 ; Thundering Wurm ; Summon Creature 4/4 ; 2G ; Rare ; Paolo Parente ;  Portal
116 ; Treetop Defense ; Sorcery ; 1G ; Rare ; Zina Saunders ;  Portal
117 ; Untamed Wilds ; Sorcery ; 2G ; Uncommon ; Romas ;  Portal
118 ; Whiptail Wurm ; Summon Creature 8/5 ; 6G ; Uncommon ; Una Fricker ;  Portal
119 ; Willow Dryad ; Summon Creature 1/1 ; G ; Common ; D. Alexander Gregory ;  Portal
120 ; Winter's Grasp ; Sorcery ; 1GG ; Uncommon ; Paolo Parente ;  Portal
121 ; Wood Elves ; Summon Creature 1/1 ; 2G ; Rare ; Rebecca Guay ;  Portal
122 ; Blaze ; Sorcery ; XR ; Uncommon ; Gerry Grace ;  Portal
123 ; Blaze ; Sorcery ; XR ; Uncommon ; Gerry Grace ;  Portal
124 ; Boiling Seas ; Sorcery ; 3R ; Uncommon ; Tom W‰nerstrand ;  Portal
125 ; Burning Cloak ; Sorcery ; R ; Common ; Scott M. Fischer ;  Portal
126 ; Craven Giant ; Summon Creature 4/1 ; 2R ; Common ; Ron Spencer ;  Portal
127 ; Desert Drake ; Summon Creature 2/2 ; 3R ; Uncommon ; Gerry Grace ;  Portal
128 ; Devastation ; Sorcery ; 5RR ; Rare ; Steve Luke ;  Portal
129 ; Earthquake ; Sorcery ; XR ; Rare ; Adrian Smith ;  Portal
130 ; Fire Dragon ; Summon Creature 6/6 ; 6RRR ; Rare ; William Simpson ;  Portal
131 ; Fire Imp ; Summon Creature 2/1 ; 2R ; Uncommon ; DiTerlizzi ;  Portal
132 ; Fire Snake ; Summon Creature 3/1 ; 4R ; Common ; Steve Luke ;  Portal
133 ; Fire Tempest ; Sorcery ; 5RR ; Rare ; Mike Dringenberg ;  Portal
134 ; Flashfires ; Sorcery ; 3R ; Uncommon ; Randy Gallegos ;  Portal
135 ; Forked Lightning ; Sorcery ; 3R ; Rare ; Ted Naifeh ;  Portal
136 ; Goblin Bully ; Summon Creature 2/1 ; 1R ; Common ; Pete Venters ;  Portal
137 ; Highland Giant ; Summon Creature 3/4 ; 2RR ; Common ; Ron Spencer ;  Portal
138 ; Hill Giant ; Summon Creature 3/3 ; 3R ; Common ; Randy Gallegos ;  Portal
139 ; Hulking Cyclops ; Summon Creature 5/5 ; 3RR ; Uncommon ; Paolo Parente ;  Portal
140 ; Hulking Goblin ; Summon Creature 2/2 ; 1R ; Common ; Pete Venters ;  Portal
141 ; Last Chance ; Sorcery ; RR ; Rare ; Hannibal King ;  Portal
142 ; Lava Axe ; Sorcery ; 4R ; Common ; Adrian Smith ;  Portal
143 ; Lava Flow ; Sorcery ; 3RR ; Uncommon ; Mike Dringenberg ;  Portal
144 ; Lizard Warrior ; Summon Creature 4/2 ; 3R ; Common ; Roger Raupp ;  Portal
145 ; Minotaur Warrior ; Summon Creature 2/3 ; 2R ; Common ; Scott M. Fischer ;  Portal
146 ; Mountain Goat ; Summon Creature 1/1 ; R ; Uncommon ; Una Fricker ;  Portal
147 ; Pillaging Horde ; Summon Creature 5/5 ; 2RR ; Rare ; Kev Walker ;  Portal
148 ; Pyroclasm ; Sorcery ; 1R ; Rare ; John Matson ;  Portal
149 ; Raging Cougar ; Summon Creature 2/2 ; 2R ; Common ; Terese Nielsen ;  Portal
150 ; Raging Goblin ; Summon Creature 1/1 ; R ; Common ; Pete Venters ;  Portal
151 ; Raging Goblin ; Summon Creature 1/1 ; R ; Common ; Pete Venters ;  Portal
152 ; Raging Minotaur ; Summon Creature 3/3 ; 2RR ; Common ; Scott M. Fischer ;  Portal
153 ; Rain of Salt ; Sorcery ; 4RR ; Uncommon ; Charles Gillespie ;  Portal
154 ; Scorching Spear ; Sorcery ; R ; Common ; Mike Raabe ;  Portal
155 ; Scorching Winds ; Sorcery ; R ; Uncommon ; D. Alexander Gregory ;  Portal
156 ; Spitting Earth ; Sorcery ; 1R ; Common ; Hannibal King ;  Portal
157 ; Stone Rain ; Sorcery ; 2R ; Common ; John Matson ;  Portal
158 ; Thundermare ; Summon Creature 5/5 ; 5R ; Rare ; Bob Eggleton ;  Portal
159 ; Volcanic Dragon ; Summon Creature 4/4 ; 4RR ; Rare ; Tom W‰nerstrand ;  Portal
160 ; Volcanic Hammer ; Sorcery ; 1R ; Common ; Christopher Rush ;  Portal
161 ; Wall of Granite ; Summon Creature 0/7 ; 2R ; Uncommon ; Kev Walker ;  Portal
162 ; Winds of Change ; Sorcery ; R ; Rare ; Adam Rex ;  Portal
163 ; Alabaster Dragon ; Summon Creature 4/4 ; 4WW ; Rare ; Ted Naifeh ;  Portal
164 ; Angelic Blessing ; Sorcery ; 2W ; Common ; DiTerlizzi ;  Portal
165 ; Archangel ; Summon Creature 5/5 ; 5WW ; Rare ; Quinton Hoover ;  Portal
166 ; Ardent Militia ; Summon Creature 2/5 ; 4W ; Uncommon ; Mike Raabe ;  Portal
167 ; Armageddon ; Sorcery ; 3W ; Rare ; John Avon ;  Portal
168 ; Armored Pegasus ; Summon Creature 1/2 ; 1W ; Common ; Andrew Robinson ;  Portal
169 ; Blessed Reversal ; Sorcery ; 1W ; Rare ; Zina Saunders ;  Portal
170 ; Blinding Light ; Sorcery ; 2W ; Rare ; John Coulthart ;  Portal
171 ; Border Guard ; Summon Creature 1/4 ; 2W ; Common ; Kev Walker ;  Portal
172 ; Breath of Life ; Sorcery ; 3W ; Common ; DiTerlizzi ;  Portal
173 ; Charging Paladin ; Summon Creature 2/2 ; 2W ; Uncommon ; Kev Walker ;  Portal
174 ; Defiant Stand ; Sorcery ; 1W ; Uncommon ; Hannibal King ;  Portal
175 ; Devoted Hero ; Summon Creature 1/2 ; W ; Common ; DiTerlizzi ;  Portal
176 ; False Peace ; Sorcery ; W ; Common ; Zina Saunders ;  Portal
177 ; Fleet-Footed Monk ; Summon Creature 1/1 ; 1W ; Common ; D. Alexander Gregory ;  Portal
178 ; Foot Soldiers ; Summon Creature 2/4 ; 3W ; Common ; Kev Walker ;  Portal
179 ; Gift of Estates ; Sorcery ; 1W ; Rare ; Kaja Foglio ;  Portal
180 ; Harsh Justice ; Sorcery ; 2W ; Rare ; John Coulthart ;  Portal
181 ; Keen-Eyed Archers ; Summon Creature 2/2 ; 2W ; Common ; Alan Rabinowitz ;  Portal
182 ; Knight Errant ; Summon Creature 2/2 ; 1W ; Common ; Dan Frazier ;  Portal
183 ; Path of Peace ; Sorcery ; 3W ; Common ; Pete Venters ;  Portal
184 ; Regal Unicorn ; Summon Creature 2/3 ; 2W ; Common ; Zina Saunders ;  Portal
185 ; Renewing Dawn ; Sorcery ; 1W ; Uncommon ; John Avon ;  Portal
186 ; Sacred Knight ; Summon Creature 3/2 ; 3W ; Common ; Donato Giancola ;  Portal
187 ; Sacred Nectar ; Sorcery ; 1W ; Common ; Janine Johnston ;  Portal
188 ; Seasoned Marshal ; Summon Creature 2/2 ; 2WW ; Uncommon ; Zina Saunders ;  Portal
189 ; Spiritual Guardian ; Summon Creature 3/4 ; 3WW ; Rare ; Terese Nielsen ;  Portal
190 ; Spotted Griffin ; Summon Creature 2/3 ; 3W ; Common ; William Simpson ;  Portal
191 ; Starlight ; Sorcery ; 1W ; Uncommon ; John Avon ;  Portal
192 ; Starlit Angel ; Summon Creature 3/4 ; 3WW ; Uncommon ; Rebecca Guay ;  Portal
193 ; Steadfastness ; Sorcery ; 1W ; Common ; Kev Walker ;  Portal
194 ; Stern Marshal ; Summon Creature 2/2 ; 2W ; Rare ; D. Alexander Gregory ;  Portal
195 ; Temporary Truce ; Sorcery ; 1W ; Rare ; Mike Raabe ;  Portal
196 ; Valorous Charge ; Sorcery ; 1WW ; Uncommon ; Douglas Shuler ;  Portal
197 ; Venerable Monk ; Summon Creature 2/2 ; 2W ; Uncommon ; D. Alexander Gregory ;  Portal
198 ; Vengeance ; Sorcery ; 3W ; Uncommon ; Andrew Robinson ;  Portal
199 ; Wall of Swords ; Summon Creature 3/5 ; 3W ; Uncommon ; Douglas Shuler ;  Portal
200 ; Warrior's Charge ; Sorcery ; 2W ; Common ; Ted Naifeh ;  Portal
201 ; Warrior's Charge ; Sorcery ; 2W ; Common ; Ted Naifeh ;  Portal
202 ; Wrath of God ; Sorcery ; 2WW ; Rare ; Mike Raabe ;  Portal
203 ; Forest ; Land ; ; Land ; John Avon ;  Portal
204 ; Forest ; Land ; ; Land ; John Avon ;  Portal
205 ; Forest ; Land ; ; Land ; John Avon ;  Portal
206 ; Forest ; Land ; ; Land ; John Avon ;  Portal
207 ; Island ; Land ; ; Land ; Eric Peterson ;  Portal
208 ; Island ; Land ; ; Land ; Eric Peterson ;  Portal
209 ; Island ; Land ; ; Land ; Eric Peterson ;  Portal
210 ; Island ; Land ; ; Land ; Eric Peterson ;  Portal
211 ; Mountain ; Land ; ; Land ; Brian Durfee ;  Portal
212 ; Mountain ; Land ; ; Land ; Brian Durfee ;  Portal
213 ; Mountain ; Land ; ; Land ; Brian Durfee ;  Portal
214 ; Mountain ; Land ; ; Land ; Brian Durfee ;  Portal
215 ; Plains ; Land ; ; Land ; Douglas Shuler ;  Portal
216 ; Plains ; Land ; ; Land ; Douglas Shuler ;  Portal
217 ; Plains ; Land ; ; Land ; Douglas Shuler ;  Portal
218 ; Plains ; Land ; ; Land ; Douglas Shuler ;  Portal
219 ; Swamp ; Land ; ; Land ; Romas ;  Portal
220 ; Swamp ; Land ; ; Land ; Romas ;  Portal
221 ; Swamp ; Land ; ; Land ; Romas ;  Portal
222 ; Swamp ; Land ; ; Land ; Romas ;  Portal
1 ; Alabaster Potion ; Instant ; XWW ; Special ; Harold McNeill ;  Introductory Two-Player Set
2 ; Battering Ram ; Artifact Creature 1/1 ; 2 ; Special ; Jeff A. Menges ;  Introductory Two-Player Set
3 ; Bog Imp ; Creature - Imp 1/1 ; 1B ; Special ; Ron Spencer ;  Introductory Two-Player Set
4 ; Bog Wraith ; Creature ó Wraith 3/3 ; 3B ; Special ; Jeff A. Menges ;  Introductory Two-Player Set
5 ; Circle of Protection: Black ; Enchantment ; 1W ; Special ; Jesper Myrfors ;  Introductory Two-Player Set
6 ; Circle of Protection: Red ; Enchantment ; 1W ; Special ; Mark Tedin ;  Introductory Two-Player Set
7 ; Clockwork Beast ; Artifact Creature 0/4 ; 6 ; Special ; Drew Tucker ;  Introductory Two-Player Set
8 ; Cursed Land ; Enchant Land ; 2BB ; Special ; Jesper Myrfors ;  Introductory Two-Player Set
9 ; Dark Ritual ; Interrupt ; B ; Special ; Sandra Everingham ;  Introductory Two-Player Set
10 ; Detonate ; Sorcery ; XR ; Special ; Randy Asplund-Faith ;  Introductory Two-Player Set
11 ; Disintegrate ; Sorcery ; XR ; Special ; Anson Maddocks ;  Introductory Two-Player Set
12 ; Durkwood Boars ; Creature - Boar 4/4 ; 4G ; Special ; Mike Kimble ;  Introductory Two-Player Set
13 ; Elven Riders ; Creature ó Elf 3/3 ; 3GG ; Special ; Melissa Benson ;  Introductory Two-Player Set
14 ; Elvish Archers ; Creature - Elf 2/1 ; 1G ; Special ; Anson Maddocks ;  Introductory Two-Player Set
15 ; Energy Flux ; Enchantment ; 2U ; Special ; Kaja Foglio ;  Introductory Two-Player Set
16 ; Feedback ; Echt Ech ; 2U ; Special ; Quinton Hoover ;  Introductory Two-Player Set
17 ; Fireball ; Sorcery ; XR ; Special ; Mark Tedin ;  Introductory Two-Player Set
18 ; Forest ; Basic Land ó Forest ; ; Special ; Christopher Rush ;  Introductory Two-Player Set
19 ; Forest ; Basic Land ó Forest ; ; Special ; Christopher Rush ;  Introductory Two-Player Set
20 ; Forest ; Basic Land ó Forest ; ; Special ; Christopher Rush ;  Introductory Two-Player Set
21 ; Glasses of Urza ; Artifact ; 1 ; Special ; Douglas Shuler ;  Introductory Two-Player Set
22 ; Grizzly Bears ; Creature ó Bear 2/2 ; 1G ; Special ; Jeff A. Menges ;  Introductory Two-Player Set
23 ; Healing Salve ; Instant ; W ; Special ; Dan Frazier ;  Introductory Two-Player Set
24 ; Hill Giant ; Creature ó Giant 3/3 ; 3R ; Special ; Dan Frazier ;  Introductory Two-Player Set
25 ; Ironclaw Orcs ; Summon Orcs 2/2 ; 1R ; Special ; Anson Maddocks ;  Introductory Two-Player Set
26 ; Island ; Basic Land ó Island ; ; Special ; Mark Poole ;  Introductory Two-Player Set
27 ; Island ; Basic Land ó Island ; ; Special ; Mark Poole ;  Introductory Two-Player Set
28 ; Island ; Basic Land ó Island ; ; Special ; Mark Poole ;  Introductory Two-Player Set
29 ; Jayemdae Tome ; Artifact ; 4 ; Special ; Mark Tedin ;  Introductory Two-Player Set
30 ; Lost Soul ; Creature - Minion 2/1 ; 1BB ; Special ; Randy Asplund-Faith ;  Introductory Two-Player Set
31 ; Merfolk of the Pearl Trident ; Creature - Merfolk 1/1 ; U ; Special ; Jeff A. Menges ;  Introductory Two-Player Set
32 ; Mesa Pegasus ; Summon Pegasus 1/1 ; 1W ; Special ; Melissa Benson ;  Introductory Two-Player Set
33 ; Mons's Goblin Raiders ; Summon Goblins 1/1 ; R ; Special ; Jeff A. Menges ;  Introductory Two-Player Set
34 ; Mountain ; Basic Land ó Mountain ; ; Special ; Douglas Shuler ;  Introductory Two-Player Set
35 ; Mountain ; Basic Land ó Mountain ; ; Special ; Douglas Shuler ;  Introductory Two-Player Set
36 ; Mountain ; Basic Land ó Mountain ; ; Special ; Douglas Shuler ;  Introductory Two-Player Set
37 ; Murk Dwellers ; Summon Murk Dwellers 2/2 ; 3B ; Special ; Drew Tucker ;  Introductory Two-Player Set
38 ; Orcish Artillery ; Creature ó Orc Warrior 1/3 ; 1RR ; Special ; Anson Maddocks ;  Introductory Two-Player Set
39 ; Orcish Oriflamme ; Enchantment ; 3R ; Special ; Dan Frazier ;  Introductory Two-Player Set
40 ; Pearled Unicorn ; Summon Unicorn 2/2 ; 2W ; Special ; Cornelius Brudi ;  Introductory Two-Player Set
41 ; Phantom Monster ; Summon Phantasm 3/3 ; 3U ; Special ; Jesper Myrfors ;  Introductory Two-Player Set
42 ; Plains ; Basic Land ó Plains ; ; Special ; Jesper Myrfors ;  Introductory Two-Player Set
43 ; Plains ; Basic Land ó Plains ; ; Special ; Jesper Myrfors ;  Introductory Two-Player Set
44 ; Plains ; Basic Land ó Plains ; ; Special ; Jesper Myrfors ;  Introductory Two-Player Set
45 ; Power Sink ; Instant ; XU ; Special ; Richard Thomas ;  Introductory Two-Player Set
46 ; Pyrotechnics ; Sorcery ; 4R ; Special ; Anson Maddocks ;  Introductory Two-Player Set
47 ; Raise Dead ; Sorcery ; B ; Special ; Jeff A. Menges ;  Introductory Two-Player Set
48 ; Reverse Damage ; Instant ; 1WW ; Special ; Dameon Willich ;  Introductory Two-Player Set
49 ; Rod of Ruin ; Artifact ; 4 ; Special ; Christopher Rush ;  Introductory Two-Player Set
50 ; Scathe Zombies ; Creature ó Zombie 2/2 ; 2B ; Special ; Jesper Myrfors ;  Introductory Two-Player Set
51 ; Sorceress Queen ; Summon Sorceress 1/1 ; 1BB ; Special ; Kaja Foglio ;  Introductory Two-Player Set
52 ; Swamp ; Basic Land ó Swamp ; ; Special ; Dan Frazier ;  Introductory Two-Player Set
53 ; Swamp ; Basic Land ó Swamp ; ; Special ; Dan Frazier ;  Introductory Two-Player Set
